om,yr,mo,dy,date,time,tz,datetime_utc,st,stf,mag,inj,fat,loss,slat,slon,elat,elon,len,wid,ns,sn,f1,f2,f3,f4,fc
481630,2013,10,11,2013-10-11,16:25:00,America/Chicago,2013-10-11T21:25:00Z,MN,27,1.0,0,0,,45.8177,-96.2716,45.8236,-96.2743,0.43,70,1,1,155,0,0,0,False
476530,2013,10,12,2013-10-12,13:35:00,America/Chicago,2013-10-12T18:35:00Z,TX,48,0.0,0,0,,33.359,-97.0985,33.359,-97.0985,0.01,20,1,1,121,0,0,0,False
481962,2013,10,18,2013-10-18,17:51:00,America/Chicago,2013-10-18T22:51:00Z,TX,48,0.0,0,0,,27.54,-97.77,27.5412,-97.7671,0.2,25,1,1,273,0,0,0,False
481992,2013,10,21,2013-10-21,16:08:00,America/Chicago,2013-10-21T21:08:00Z,TX,48,0.0,0,0,,27.4276,-97.8,27.4272,-97.797,0.18,25,1,1,273,0,0,0,False
480242,2013,10,31,2013-10-31,06:00:00,America/Chicago,2013-10-31T11:00:00Z,TX,48,1.0,0,0,50000.0,30.8447,-93.9826,30.861,-93.973,1.26,50,1,1,241,0,0,0,False
480241,2013,10,31,2013-10-31,08:39:00,America/Chicago,2013-10-31T13:39:00Z,TX,48,1.0,0,0,100000.0,30.039,-93.871,30.073,-93.7799,5.93,200,1,1,361,0,0,0,False
480243,2013,10,31,2013-10-31,08:46:00,America/Chicago,2013-10-31T13:46:00Z,LA,22,1.0,0,0,30000.0,30.343,-93.442,30.379,-93.3301,7.12,150,1,1,19,0,0,0,False
480339,2013,10,31,2013-10-31,09:00:00,America/Chicago,2013-10-31T14:00:00Z,LA,22,0.0,0,0,,30.4829,-93.2413,30.491,-93.2008,2.48,75,1,1,11,0,0,0,False
480352,2013,10,31,2013-10-31,09:00:00,America/Chicago,2013-10-31T14:00:00Z,LA,22,1.0,0,0,400000.0,30.4171,-93.2437,30.4924,-93.1442,7.89,150,1,1,11,0,0,0,False
480354,2013,10,31,2013-10-31,09:14:00,America/Chicago,2013-10-31T14:14:00Z,LA,22,0.0,0,0,,30.515,-93.0837,30.5229,-93.0734,0.82,75,1,1,3,0,0,0,False
480325,2013,10,31,2013-10-31,09:30:00,America/Chicago,2013-10-31T14:30:00Z,LA,22,0.0,0,0,10000.0,30.1595,-93.2959,30.1615,-93.2727,1.39,30,1,1,19,0,0,0,False
480357,2013,10,31,2013-10-31,10:21:00,America/Chicago,2013-10-31T15:21:00Z,LA,22,0.0,0,0,3000.0,30.751,-92.4289,30.752,-92.4208,0.49,75,1,1,39,0,0,0,False
480359,2013,10,31,2013-10-31,10:41:00,America/Chicago,2013-10-31T15:41:00Z,LA,22,0.0,0,0,1000.0,30.2833,-92.5934,30.2863,-92.5857,0.5,70,1,1,1,0,0,0,False
477077,2013,10,31,2013-10-31,17:11:00,America/Chicago,2013-10-31T22:11:00Z,MO,29,1.0,0,0,100000.0,36.5862,-90.7416,36.5744,-90.6681,4.16,150,1,1,181,0,0,0,False
477087,2013,10,31,2013-10-31,17:30:00,America/Chicago,2013-10-31T22:30:00Z,MO,29,1.0,0,0,80000.0,36.6338,-90.47,36.6351,-90.4664,0.22,50,1,1,23,0,0,0,False
477089,2013,10,31,2013-10-31,17:48:00,America/Chicago,2013-10-31T22:48:00Z,MO,29,1.0,0,0,100000.0,36.6954,-90.2691,36.7363,-90.1798,5.7,75,1,1,23,0,0,0,False
477076,2013,10,31,2013-10-31,17:54:00,America/Chicago,2013-10-31T22:54:00Z,MO,29,1.0,0,0,70000.0,37.25,-89.9482,37.25,-89.9209,1.5,200,1,1,17,0,0,0,False
477093,2013,10,31,2013-10-31,18:02:00,America/Chicago,2013-10-31T23:02:00Z,MO,29,1.0,0,0,75000.0,36.7312,-90.0338,36.7637,-89.7797,14.25,100,1,1,207,0,0,0,False
477098,2013,10,31,2013-10-31,18:05:00,America/Chicago,2013-10-31T23:05:00Z,MO,29,1.0,0,0,130000.0,37.2807,-89.7086,37.2756,-89.6379,3.9,150,1,1,31,0,0,0,False
477100,2013,10,31,2013-10-31,18:20:00,America/Chicago,2013-10-31T23:20:00Z,IL,17,0.0,0,0,100000.0,37.2956,-89.5108,37.2953,-89.4883,1.24,200,1,1,3,0,0,0,False
477104,2013,10,31,2013-10-31,18:24:00,America/Chicago,2013-10-31T23:24:00Z,MO,29,2.0,0,0,800000.0,36.7332,-89.85,36.7466,-89.8194,1.93,100,1,1,207,0,0,0,False
480652,2013,10,31,2013-10-31,18:35:00,America/Chicago,2013-10-31T23:35:00Z,IL,17,1.0,0,0,20000.0,37.3168,-89.27,37.3301,-89.1528,6.51,50,1,1,3,153,0,0,False
480246,2013,10,31,2013-10-31,18:37:00,America/Chicago,2013-10-31T23:37:00Z,AR,5,1.0,0,0,500000.0,35.7476,-90.3763,35.7617,-90.3128,3.69,300,1,1,31,0,0,0,False
477070,2013,10,31,2013-10-31,18:40:00,America/Chicago,2013-10-31T23:40:00Z,MO,29,1.0,0,0,175000.0,36.8079,-89.6258,36.8296,-89.5791,2.99,50,1,1,143,0,0,0,False
477105,2013,10,31,2013-10-31,18:51:00,America/Chicago,2013-10-31T23:51:00Z,IL,17,1.0,0,0,110000.0,37.6055,-88.83,37.62,-88.6469,9.9,175,1,1,199,165,0,0,False
480659,2013,10,31,2013-10-31,18:56:00,America/Chicago,2013-10-31T23:56:00Z,IL,17,1.0,0,0,30000.0,37.3321,-88.9701,37.3363,-88.9585,0.7,50,1,1,87,0,0,0,False
477108,2013,10,31,2013-10-31,19:05:00,America/Chicago,2013-11-01T00:05:00Z,MO,29,1.0,0,0,105000.0,36.92,-89.22,36.9409,-89.0847,7.62,200,2,0,0,0,0,0,False
477110,2013,10,31,2013-10-31,19:25:00,America/Chicago,2013-11-01T00:25:00Z,KY,21,1.0,0,0,203000.0,36.9038,-88.8899,36.9725,-88.7683,8.26,200,1,1,39,145,0,0,False
477112,2013,10,31,2013-10-31,19:30:00,America/Chicago,2013-11-01T00:30:00Z,KY,21,0.0,0,0,15000.0,36.9605,-88.9358,36.9627,-88.933,0.22,70,1,1,7,0,0,0,False
477113,2013,10,31,2013-10-31,19:39:00,America/Chicago,2013-11-01T00:39:00Z,KY,21,1.0,0,0,100000.0,36.9447,-88.7089,36.9594,-88.6747,2.15,225,1,1,145,0,0,0,False
477072,2013,10,31,2013-10-31,19:48:00,America/Chicago,2013-11-01T00:48:00Z,KY,21,0.0,0,0,15000.0,36.9773,-88.5156,36.9785,-88.4978,0.98,40,1,1,145,0,0,0,False
477075,2013,10,31,2013-10-31,19:50:00,America/Chicago,2013-11-01T00:50:00Z,KY,21,1.0,0,0,35000.0,37.0251,-88.543,37.024,-88.5349,0.45,40,1,1,145,0,0,0,False
477114,2013,10,31,2013-10-31,20:03:00,America/Chicago,2013-11-01T01:03:00Z,KY,21,0.0,0,0,35000.0,37.0026,-88.3491,37.007,-88.342,0.5,50,1,1,157,0,0,0,False
477818,2013,10,31,2013-10-31,21:30:00,America/Chicago,2013-11-01T02:30:00Z,OH,39,1.0,8,0,2000000.0,39.8929,-84.1861,39.8939,-84.1752,0.58,50,1,1,113,0,0,0,False
477720,2013,10,31,2013-10-31,21:38:00,America/Chicago,2013-11-01T02:38:00Z,OH,39,0.0,0,0,70000.0,40.1818,-84.0324,40.183,-84.027,0.3,30,1,1,109,0,0,0,False
477819,2013,10,31,2013-10-31,22:40:00,America/Chicago,2013-11-01T03:40:00Z,OH,39,0.0,0,0,300000.0,39.8778,-82.9965,39.8774,-82.9915,0.27,50,1,1,49,0,0,0,False
483178,2013,10,31,2013-10-31,23:07:00,America/Chicago,2013-11-01T04:07:00Z,TX,39,0.0,0,0,100000.0,39.9706,-82.529,39.9721,-82.5273,0.14,50,1,1,89,0,0,0,False
480399,2013,10,1,2013-10-01,12:43:00,America/Chicago,2013-10-01T17:43:00Z,PR,72,0.0,0,0,10000.0,18.3349,-67.1876,18.3379,-67.1909,0.3,10,1,1,3,0,0,0,False
472673,2013,10,3,2013-10-03,21:08:00,America/Chicago,2013-10-04T02:08:00Z,NE,31,2.0,0,0,,40.6827,-96.4637,40.7387,-96.3868,15.27,300,1,1,109,131,0,0,False
472700,2013,10,3,2013-10-03,21:55:00,America/Chicago,2013-10-04T02:55:00Z,NE,31,0.0,0,0,,40.7834,-96.2938,40.8222,-96.2257,4.46,100,1,1,25,0,0,0,False
473022,2013,10,4,2013-10-04,15:32:00,America/Chicago,2013-10-04T20:32:00Z,NE,31,0.0,0,0,,41.8682,-97.3351,41.9287,-97.2929,4.71,100,1,1,167,0,0,0,False
474503,2013,10,4,2013-10-04,15:48:00,America/Chicago,2013-10-04T20:48:00Z,NE,31,2.0,0,0,,42.246,-98.092,42.342,-98.096,6.64,264,1,1,3,0,0,0,False
472670,2013,10,4,2013-10-04,16:12:00,America/Chicago,2013-10-04T21:12:00Z,NE,31,4.0,15,0,500000.0,42.128,-97.077,42.3592,-96.8886,18.34,2429,1,1,179,51,0,0,False
473017,2013,10,4,2013-10-04,16:20:00,America/Chicago,2013-10-04T21:20:00Z,NE,31,3.0,0,0,,42.4339,-97.8817,42.5255,-97.9038,6.43,590,1,1,107,0,0,0,False
472671,2013,10,4,2013-10-04,16:55:00,America/Chicago,2013-10-04T21:55:00Z,NE,31,2.0,2,0,400000.0,42.0805,-96.3861,42.4134,-96.1982,26.56,264,2,0,0,0,0,0,False
476179,2013,10,4,2013-10-04,16:59:00,America/Chicago,2013-10-04T21:59:00Z,NE,31,0.0,0,0,,42.3634,-96.8703,42.3707,-96.8627,0.64,50,1,1,43,0,0,0,False
493425,2013,10,4,2013-10-04,16:59:00,America/Chicago,2013-10-04T21:59:00Z,NE,31,0.0,0,0,,42.3941,-96.7337,42.4023,-96.7263,0.68,50,1,1,51,0,0,0,False
476181,2013,10,4,2013-10-04,17:17:00,America/Chicago,2013-10-04T22:17:00Z,IA,19,1.0,0,0,20000.0,42.2206,-96.2633,42.2359,-96.2537,1.17,100,1,1,193,0,0,0,False
475785,2013,10,4,2013-10-04,17:25:00,America/Chicago,2013-10-04T22:25:00Z,NE,31,1.0,0,0,250000.0,42.4918,-96.59,42.5672,-96.5359,5.89,400,2,0,0,0,0,0,False
476100,2013,10,4,2013-10-04,17:35:00,America/Chicago,2013-10-04T22:35:00Z,IA,19,4.0,0,0,2010000.0,42.3319,-96.1086,42.5818,-95.7623,24.7,2600,1,1,193,35,0,0,False
475778,2013,10,4,2013-10-04,17:35:00,America/Chicago,2013-10-04T22:35:00Z,SD,46,1.0,0,0,200000.0,42.57,-96.5562,42.656,-96.506,6.47,800,2,0,0,0,0,0,False
476081,2013,10,4,2013-10-04,17:50:00,America/Chicago,2013-10-04T22:50:00Z,IA,19,1.0,0,0,,42.6758,-96.4453,42.6884,-96.4316,1.11,100,1,1,149,0,0,0,False
476083,2013,10,4,2013-10-04,17:55:00,America/Chicago,2013-10-04T22:55:00Z,IA,19,0.0,0,0,,42.7464,-96.3815,42.7605,-96.3652,1.28,50,1,1,149,0,0,0,False
476157,2013,10,4,2013-10-04,18:41:00,America/Chicago,2013-10-04T23:41:00Z,IA,19,0.0,0,0,,42.6879,-95.622,42.6953,-95.618,0.55,50,1,1,35,0,0,0,False
476158,2013,10,4,2013-10-04,18:46:00,America/Chicago,2013-10-04T23:46:00Z,IA,19,0.0,0,0,,42.7167,-95.5901,42.7217,-95.5861,0.4,50,1,1,35,0,0,0,False
476159,2013,10,4,2013-10-04,19:18:00,America/Chicago,2013-10-05T00:18:00Z,IA,19,0.0,0,0,,42.836,-95.3967,42.84,-95.3927,0.34,50,1,1,35,0,0,0,False
476160,2013,10,4,2013-10-04,19:33:00,America/Chicago,2013-10-05T00:33:00Z,IA,19,1.0,0,0,1200000.0,42.6032,-95.3649,42.6644,-95.2973,5.45,200,1,1,21,0,0,0,False
476161,2013,10,4,2013-10-04,19:47:00,America/Chicago,2013-10-05T00:47:00Z,IA,19,0.0,0,0,,42.978,-95.0574,42.985,-95.0472,0.71,100,1,1,41,0,0,0,False
472741,2013,10,5,2013-10-05,17:23:00,America/Chicago,2013-10-05T22:23:00Z,WI,55,0.0,0,0,50000.0,43.7,-89.477,43.7257,-89.4765,1.78,50,1,1,77,0,0,0,False
480244,2013,10,5,2013-10-05,17:52:00,America/Chicago,2013-10-05T22:52:00Z,TN,47,0.0,0,0,,36.2344,-89.2485,36.2365,-89.2464,0.18,25,1,1,131,0,0,0,False
480928,2013,10,7,2013-10-07,13:16:00,America/Chicago,2013-10-07T18:16:00Z,NJ,34,1.0,0,0,30000.0,40.9317,-74.0926,40.9459,-74.0779,1.25,100,1,1,3,0,0,0,False
475352,2013,10,8,2013-10-08,13:24:00,America/Chicago,2013-10-08T18:24:00Z,FL,12,0.0,0,0,,27.8309,-82.5168,27.8311,-82.5156,0.25,30,1,1,57,0,0,0,False
483766,2013,11,17,2013-11-17,10:52:00,America/Chicago,2013-11-17T16:52:00Z,IL,17,2.0,10,0,45000000.0,40.5756,-89.6569,40.5922,-89.6198,2.26,100,1,1,143,179,0,0,False
483775,2013,11,17,2013-11-17,10:59:00,America/Chicago,2013-11-17T16:59:00Z,IL,17,4.0,125,3,935225000.0,40.622,-89.5678,41.0063,-88.8439,46.36,880,1,1,179,203,99,105,False
482454,2013,11,17,2013-11-17,11:30:00,America/Chicago,2013-11-17T17:30:00Z,IL,17,0.0,0,0,,39.2346,-89.7255,39.2794,-89.6787,3.98,50,1,1,117,135,0,0,False
484026,2013,11,17,2013-11-17,11:43:00,America/Chicago,2013-11-17T17:43:00Z,IL,17,0.0,0,0,,40.9587,-88.9251,40.98,-88.884,2.6,50,1,1,105,0,0,0,False
482458,2013,11,17,2013-11-17,11:47:00,America/Chicago,2013-11-17T17:47:00Z,IL,17,1.0,0,0,,38.7099,-89.5175,38.7121,-89.5113,0.37,50,1,1,27,0,0,0,False
482450,2013,11,17,2013-11-17,12:04:00,America/Chicago,2013-11-17T18:04:00Z,IL,17,4.0,2,2,,38.42,-89.45,38.48,-89.27,10.59,200,1,1,189,0,0,0,False
